start_frame,end_frame,num_vehicles,scenario
1552,1602,54,Cut-In
1553,1603,54,Cut-In
1554,1604,55,Cut-In
1555,1605,55,Cut-In
1556,1606,56,Cut-In
1557,1607,56,Cut-In
1558,1608,56,Cut-In
1559,1609,56,Cut-In
1560,1610,54,Cut-In
1561,1611,55,Cut-In
1562,1612,55,Cut-In
1563,1613,54,Cut-In
1564,1614,54,Cut-In
1565,1615,54,Cut-In
1566,1616,55,Cut-In
1567,1617,56,Cut-In
1568,1618,56,Cut-In
1569,1619,56,Cut-In
1570,1620,56,Cut-In
1571,1621,56,Cut-In
1572,1622,56,Cut-In
1573,1623,54,Cut-In
1574,1624,55,Cut-In
1575,1625,56,Cut-In
1576,1626,55,Cut-In
1577,1627,55,Cut-In
1578,1628,55,Cut-In
1579,1629,56,Cut-In
1580,1630,56,Cut-In
1581,1631,56,Cut-In
1582,1632,56,Cut-In
1583,1633,56,Cut-In
1584,1634,56,Cut-In
1585,1635,56,Cut-In
1586,1636,56,Cut-In
1587,1637,56,Cut-In
1588,1638,56,Cut-In
1589,1639,57,Cut-In
1590,1640,57,Cut-In
1591,1641,57,Cut-In
1592,1642,57,Cut-In
1593,1643,56,Cut-In
1594,1644,56,Cut-In
1595,1645,57,Cut-In
1596,1646,58,Cut-In
1597,1647,59,Cut-In
1598,1648,59,Cut-In
1599,1649,59,Cut-In
1600,1650,59,Cut-In
1601,1651,59,Cut-In
1602,1652,59,Cut-In
1603,1653,58,Cut-In
1604,1654,58,Cut-In
1605,1655,59,Cut-In
1606,1656,59,Cut-In
1607,1657,59,Cut-In
1608,1658,59,Cut-In
1609,1659,58,Cut-In
1610,1660,58,Cut-In
1611,1661,58,Cut-In
1612,1662,58,Cut-In
1613,1663,58,Cut-In
1614,1664,58,Car Following
1615,1665,57,Car Following
1616,1666,56,Car Following
1617,1667,57,Car Following
1618,1668,57,Car Following
1619,1669,57,Car Following
1620,1670,58,Car Following
1621,1671,58,Car Following
1622,1672,58,Car Following
1623,1673,58,Car Following
1624,1674,58,Car Following
1625,1675,58,Car Following
1626,1676,58,Car Following
1627,1677,56,Car Following
1628,1678,56,Car Following
1629,1679,56,Car Following
1630,1680,56,Car Following
1631,1681,56,Car Following
1632,1682,57,Car Following
1633,1683,56,Car Following
1634,1684,56,Car Following
1635,1685,56,Car Following
1636,1686,56,Car Following
1637,1687,56,Car Following
1638,1688,56,Car Following
1639,1689,56,Car Following
1640,1690,57,Car Following
1641,1691,57,Car Following
1642,1692,57,Car Following
1643,1693,57,Car Following
1644,1694,58,Car Following
1645,1695,58,Car Following
1646,1696,58,Car Following
1647,1697,56,Car Following
1648,1698,56,Car Following
1649,1699,56,Car Following
1650,1700,57,Car Following
1651,1701,57,Car Following
1652,1702,57,Car Following
1653,1703,56,Car Following
1654,1704,56,Car Following
1655,1705,56,Car Following
1656,1706,56,Car Following
1657,1707,56,Car Following
1658,1708,56,Cut-In
1659,1709,57,Cut-In
1660,1710,57,Cut-In
1661,1711,57,Cut-In
1662,1712,57,Cut-In
1663,1713,57,Cut-In
1664,1714,57,Cut-In
1665,1715,57,Cut-In
1666,1716,57,Cut-In
1667,1717,57,Cut-In
1668,1718,58,Cut-In
1669,1719,58,Cut-In
1670,1720,58,Cut-In
1671,1721,59,Cut-In
1672,1722,59,Cut-In
1673,1723,58,Cut-In
1674,1724,59,Cut-In
1675,1725,59,Cut-In
1676,1726,59,Cut-In
1677,1727,59,Cut-In
1678,1728,59,Cut-In
1679,1729,59,Cut-In
1680,1730,59,Cut-In
1681,1731,59,Cut-In
1682,1732,59,Cut-In
1683,1733,59,Cut-In
1684,1734,59,Cut-In
1685,1735,57,Cut-In
1686,1736,57,Cut-In
1687,1737,57,Cut-In
1688,1738,56,Cut-In
1689,1739,55,Cut-In
1690,1740,55,Cut-In
1691,1741,56,Cut-In
1692,1742,56,Cut-In
1693,1743,56,Cut-In
1694,1744,56,Cut-In
1695,1745,57,Cut-In
1696,1746,56,Cut-In
1697,1747,56,Cut-In
1698,1748,57,Cut-In
1699,1749,57,Cut-In
1700,1750,57,Cut-In
1701,1751,57,Cut-In
1702,1752,57,Cut-In
1703,1753,57,Cut-In
1704,1754,57,Cut-In
1705,1755,57,Cut-In
1706,1756,57,Cut-In
1707,1757,57,Cut-In
1708,1758,57,Cut-In
1709,1759,57,Cut-In
1710,1760,57,Cut-In
1711,1761,57,Cut-In
1712,1762,57,Cut-In
1713,1763,56,Cut-In
1714,1764,56,Cut-In
1715,1765,55,Cut-In
1716,1766,55,Cut-In
1717,1767,55,Cut-In
1718,1768,56,Cut-In
1719,1769,57,Cut-In
1720,1770,57,Cut-In
1721,1771,57,Cut-In
1722,1772,57,Cut-In
1723,1773,57,Cut-In
1724,1774,57,Cut-In
1725,1775,58,Cut-In
1726,1776,57,Cut-In
1727,1777,57,Cut-In
1728,1778,57,Cut-In
1729,1779,57,Cut-In
1730,1780,56,Cut-In
1731,1781,56,Cut-In
1732,1782,56,Cut-In
1733,1783,56,Cut-In
1734,1784,55,Cut-In
1735,1785,55,Cut-In
1736,1786,55,Cut-In
1737,1787,55,Cut-In
1738,1788,55,Cut-In
1739,1789,54,Cut-In
1740,1790,54,Cut-In
1741,1791,54,Cut-In
1742,1792,54,Cut-In
1743,1793,54,Cut-In
1744,1794,55,Cut-In
1745,1795,54,Cut-In
1746,1796,54,Cut-In
1747,1797,54,Cut-In
1748,1798,54,Cut-In
1749,1799,53,Cut-In
1750,1800,52,Cut-In
1751,1801,52,Cut-In
1752,1802,53,Cut-In
1753,1803,53,Cut-In
1754,1804,55,Cut-In
1755,1805,55,Cut-In
1756,1806,56,Cut-In
1757,1807,57,Cut-In
1758,1808,57,Cut-In
1759,1809,57,Cut-In
1760,1810,57,Cut-In
1761,1811,57,Cut-In
1762,1812,57,Cut-In
1763,1813,57,Cut-In
1764,1814,56,Cut-In
1765,1815,57,Cut-In
1766,1816,57,Car Following
1767,1817,57,Car Following
1768,1818,57,Car Following
1769,1819,57,Car Following
1770,1820,57,Car Following
1771,1821,56,Car Following
1772,1822,56,Car Following
1773,1823,56,Car Following
1774,1824,56,Cut-In
1775,1825,56,Cut-In
1776,1826,56,Cut-In
1777,1827,56,Cut-In
1778,1828,57,Cut-In
1779,1829,58,Cut-In
